"unigram","n"
"game",4312
"console",1672
"island",1408
"people",1320
"play",1144
"switch",968
"expand",880
"nintendo",880
"animal",616
"crossing",528
"player",528
"playing",528
"data",440
"absurd",352
"buy",352
"completely",352
"excited",352
"factor",352
"found",352
"islands",352
"left",352
"literally",352
"money",352
"months",352
"potential",352
"shared",352
"transfer",352
"buying",264
"experience",264
"insane",264
"issues",264
"makes",264
"rate",264
"real",264
"reason",264
"review",264
"reviews",264
"share",264
"single",264
"thousand",264
"access",176
"account",176
"acquiring",176
"amount",176
"bought",176
"boyfriend",176
"brand",176
"breathtaking",176
"brothers",176
"bugs",176
"builds",176
"care",176
"closet",176
"clothing",176
"cloud",176
"collecting",176
"concerns",176
"create",176
"crying",176
"customizable",176
"decides",176
"dependent",176
"design",176
"disgusting",176
"dont",176
"dramatically",176
"dust",176
"easily",176
"editions",176
"entertain",176
"entry",176
"fails",176
"families",176
"family",176
"features",176
"fell",176
"fish",176
"fun",176
"furniture",176
"gameplay",176
"greedy",176
"head",176
"hobby",176
"horizons",176
"horrible",176
"house",176
"httpchngitbztwokfwtcfouryapparently",176
"hundred",176
"immediately",176
"incredibly",176
"industries",176
"ive",176
"lack",176
"leave",176
"legit",176
"life",176
"limited",176
"local",176
"love",176
"mention",176
"multiplayer",176
"multiple",176
"negative",176
"negativity",176
"ninety",176
"objectives",176
"perfectly",176
"petition",176
"played",176
"pretty",176
"previous",176
"primary",176
"progress",176
"psthree",176
"purchase",176
"purchased",176
"purpose",176
"read",176
"reading",176
"restrict",176
"ruins",176
"run",176
"saves",176
"secondary",176
"series",176
"sibling",176
"sing",176
"singular",176
"sisters",176
"sold",176
"spent",176
"started",176
"stop",176
"sucks",176
"switches",176
"tearing",176
"term",176
"tiny",176
"touch",176
"traded",176
"understand",176
"understandable",176
"unfortunate",176
"upgrade",176
"voting",176
"wait",176
"wantonly",176
"whats",176
"worse",176
"worst",176
"wrap",176
"yesterday",176
"youre",176
"absolute",88
"absolutely",88
"andi",88
"asap",88
"basically",88
"becausethis",88
"beutiful",88
"billion",88
"cake",88
"change",88
"chaos",88
"children",88
"communicate",88
"companies",88
"company",88
"covered",88
"direct",88
"dislike",88
"enjoy",88
"entire",88
"explained",88
"fair",88
"fantastic",88
"fast",88
"footage",88
"future",88
"gamei",88
"games",88
"gaming",88
"genuine",88
"havebasically",88
"home",88
"honest",88
"honestly",88
"hope",88
"idk",88
"ii",88
"iis",88
"illegal",88
"impossible",88
"islandi",88
"isnt",88
"leaving",88
"move",88
"news",88
"nice",88
"onethe",88
"otherfirst",88
"person",88
"pixels",88
"prior",88
"product",88
"quit",88
"reconsider",88
"release",88
"released",88
"resource",88
"return",88
"running",88
"save",88
"sense",88
"shame",88
"sharing",88
"suck",88
"supporting",88
"supposed",88
"sweet",88
"system",88
"takes",88
"ten",88
"ton",88
"transfers",88
"tutorials",88
"urge",88
"view",88
"weird",88
"wow",88
"ya",88
"youis",88
