"team_name","tot","avg_20","avg_atnd"
"Cowboys",23915334,74735.41875,"75k"
"Redskins",23743154,74197.35625,"74k"
"Giants",23703823,74074.446875,"74k"
"Jets",23177958,72431.11875,"72k"
"Broncos",22780812,71190.0375,"71k"
"Chiefs",22466001,70206.253125,"70k"
"Eagles",22360648,69877.025,"70k"
"Packers",22308820,69715.0625,"70k"
"Panthers",22298538,69682.93125,"70k"
"Patriots",21992791,68727.471875,"69k"
"Saints",21959118,68622.24375,"69k"
"Dolphins",21893571,68417.409375,"68k"
"Ravens",21824476,68201.4875,"68k"
"Falcons",21721523,67879.759375,"68k"
"Bills",21679935,67749.796875,"68k"
"49ers",21647962,67649.88125,"68k"
"Browns",21559663,67373.946875,"67k"
"Titans",21458985,67059.328125,"67k"
"Seahawks",21360349,66751.090625,"67k"
"Steelers",20933930,65418.53125,"65k"
"Vikings",20886185,65269.328125,"65k"
"Bears",20841409,65129.403125,"65k"
"Rams",20837161,65116.128125,"65k"
"Colts",20740369,64813.653125,"65k"
"Buccaneers",20698046,64681.39375,"65k"
"Lions",20681848,64630.775,"65k"
"Jaguars",20678847,64621.396875,"65k"
"Bengals",20199708,63124.0875,"63k"
"Chargers",20115614,62861.29375,"63k"
"Raiders",19857283,62054.009375,"62k"
"Cardinals",19664642,61452.00625,"61k"
"Texans",19632093,68166.9895833333,"68k"
