"port_arrival","place_of_purchase","tot","lon","lat","lon1","lat1"
"Rio de Janeiro","Luanda",318766.373348555,-43.1728965,-22.9068467,13.2301756,-8.8146556
"Bahia, Brazi","Luanda",248466.528767376,-41.7007272,-12.579738,13.2301756,-8.8146556
"Pernambuco","Luanda",198954.1722418,-36.954107,-8.8137173,13.2301756,-8.8146556
"Veracruz","Luanda",23501.5615942029,-96.1342241,19.173773,13.2301756,-8.8146556
"Para","Luanda",18851,-54.9306152,-1.9981271,13.2301756,-8.8146556
"Cartagena","Luanda",18069.2767598843,-75.4832311,10.3932277,13.2301756,-8.8146556
"Maranhao","Luanda",17441.8,-45.2744159,-4.9609498,13.2301756,-8.8146556
"Buenos Aires","Luanda",10381.3529411765,-58.3815591,-34.6036844,13.2301756,-8.8146556
"Campos","Luanda",9754,-41.3267187,-21.7587303,13.2301756,-8.8146556
"Ponta Negro","Luanda",7037,-35.1629703,-5.8811012,13.2301756,-8.8146556
